Count, Word
120, lorem
110, ipsum
100, dolor
150, sit
150, amet
130, consectetur
20, adipiscing
130, elit
120, vestibulum
200, in
120, quam
130, a
60, erat
50, maximus
70, ullamcorper
110, suspendisse
140, ut
100, risus
90, sollicitudin
220, eget
140, pellentesque
90, sem
70, tempus
90, etiam
200, et
90, mattis
140, nisi
90, aliquam
50, hendrerit
100, bibendum
60, pretium
100, blandit
90, turpis
90, urna
70, dignissim
120, est
100, vulputate
80, molestie
70, velit
110, eros
130, proin
110, magna
80, nisl
240, sed
60, lobortis
80, nibh
60, gravida
130, vitae
150, nunc
170, vel
110, enim
160, nulla
80, convallis
170, ac
80, malesuada
90, semper
60, integer
200, eu
90, ante
120, tincidunt
70, venenatis
50, nam
90, auctor
140, fermentum
80, dui
80, varius
90, massa
60, sapien
100, tristique
40, facilisis
60, porttitor
70, lacus
80, vehicula
180, at
160, quis
90, interdum
180, mauris
60, eleifend
130, non
70, euismod
30, elementum
10, hac
10, habitasse
10, platea
10, dictumst
60, duis
50, placerat
90, donec
80, iaculis
80, egestas
40, lacinia
90, rhoncus
60, orci
40, finibus
80, diam
150, justo
40, posuere
10, class
10, aptent
10, taciti
10, sociosqu
10, ad
10, litora
10, torquent
20, per
10, conubia
10, nostra
10, inceptos
10, himenaeos
40, rutrum
30, fringilla
60, praesent
70, metus
40, consequat
80, aenean
150, porta
50, accumsan
90, neque
80, scelerisque
70, cras
40, odio
90, ultrices
50, laoreet
70, aliquet
50, cursus
80, tortor
60, morbi
40, efficitur
60, felis
80, tellus
90, ornare
80, mollis
60, mi
130, arcu
30, vivamus
70, dictum
140, nec
30, commodo
160, id
90, phasellus
40, fusce
40, congue
30, potenti
50, pharetra
70, maecenas
80, pulvinar
100, ultricies
40, volutpat
30, viverra
50, luctus
50, condimentum
50, leo
130, libero
10, habitant
10, senectus
10, netus
10, fames
20, natoque
20, penatibus
20, magnis
20, dis
20, parturient
20, montes
20, nascetur
20, ridiculus
20, mus
50, augue
60, ligula
40, suscipit
100, curabitur
80, ex
50, sagittis
30, lectus
40, sodales
20, faucibus
60, nullam
40, feugiat
20, dapibus
20, imperdiet
20, purus
10, tempor
